"Review","Added","Outcome","Study","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","Weight","Mean","CI.start","CI.end","random.sequence.generation..selection.bias.","allocation.concealment..selection.bias.","performance.bias","detection.bias","attrition.bias","reporting.bias","other.bias","Overall.bias","measure","yi","vi"
"Oral anticoagulation","2021-10-01","Mortality6","Chahinian 1989",NA,NA,28,100,NA,NA,33,84,20.657497,0.712727,0.472221,1.075725,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.338656438436054,0.0441125541125541
"Oral anticoagulation","2021-10-01","Mortality6","Maurer 1997",NA,NA,12,176,NA,NA,12,168,6.12784,0.954545,0.441208,2.065143,"Low risk","Low risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0465200156348926,0.155032467532468
"Oral anticoagulation","2021-10-01","Mortality6","Zacharski 1984",NA,NA,100,210,NA,NA,99,208,73.214663,1.000481,0.818194,1.22338,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",0.000480884837350759,0.010531413031413
"Oral anticoagulation","2021-10-01","Mortality12","Chahinian 1989",NA,NA,74,100,NA,NA,68,84,30.195846,0.914118,0.782279,1.068175,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0897959991167147,0.00631463396169279
"Oral anticoagulation","2021-10-01","Mortality12","Levine 1994",NA,NA,87,152,NA,NA,99,159,21.848923,0.919258,0.765455,1.103966,"Low risk","High risk","Low risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0841880501060511,0.00872700743005164
"Oral anticoagulation","2021-10-01","Mortality12","Maurer 1997",NA,NA,47,176,NA,NA,48,168,6.256641,0.934659,0.663829,1.315982,"Low risk","Low risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0675734248327251,0.030475729943815
"Oral anticoagulation","2021-10-01","Mortality12","Stanford 1979",NA,NA,9,12,NA,NA,6,12,1.716081,1.5,0.780472,2.88287,"Low risk","High risk","High risk","Low risk","Low risk","Unclear risk","Low risk",NA,"RR",0.405465108108164,0.111111111111111
"Oral anticoagulation","2021-10-01","Mortality12","Zacharski 1984",NA,NA,138,210,NA,NA,141,208,39.982508,0.969402,0.846685,1.109906,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0310756562371143,0.00476897832355742
"Oral anticoagulation","2021-10-01","Major bleeding","Chahinian 1989",NA,NA,7,100,NA,NA,0,84,2.507979,12.623762,0.731575,217.830649,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",2.53558094075127,2.11166763735197
"Oral anticoagulation","2021-10-01","Major bleeding","Levine 1994",NA,NA,1,152,NA,NA,2,159,3.539925,0.523026,0.047918,5.708827,"Low risk","High risk","Low risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.64812349918599,1.48713174445548
