Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
7,2,All-cause mortality up to 120 days,High-income countries,1,SUBGROUP_AND_OVERALL,Munch 2021a,2021,0.0,0.0,0.0,0.0,6,16,0.0,0.0,2,14,0.0,0.0,28.533831,2.625,0.627837,10.97519,
7,2,All-cause mortality up to 120 days,Low- and middle-income countries,2,SUBGROUP_AND_OVERALL,Edalatifard 2020,2020,0.0,0.0,0.0,0.0,2,34,0.0,0.0,12,28,0.0,0.0,28.80131,0.137255,0.033479,0.562703,
7,2,All-cause mortality up to 120 days,Low- and middle-income countries,2,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,80,194,0.0,0.0,82,199,0.0,0.0,42.664859,1.000754,0.790269,1.267302,
7,3,Clinical improvement: discharged alive,High-income country,1,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,1416,2104,0.0,0.0,2748,4321,0.0,0.0,97.677211,1.058242,1.019433,1.098529,
7,3,Clinical improvement: discharged alive,Low- and middle-income country,2,SUBGROUP_AND_OVERALL,Edalatifard 2020,2020,0.0,0.0,0.0,0.0,32,34,0.0,0.0,16,28,0.0,0.0,0.952382,1.647059,1.182218,2.294672,
7,3,Clinical improvement: discharged alive,Low- and middle-income country,2,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,42,151,0.0,0.0,25,148,0.0,0.0,1.370407,1.646623,1.060333,2.557088,
8,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Ranjbar 2021,2021,0.0,0.0,0.0,0.0,8,44,0.0,0.0,15,42,0.0,0.0,0.0,0.509091,0.241281,1.074158,
9,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Maskin 2021,2021,0.0,0.0,0.0,0.0,20,49,0.0,0.0,19,49,0.0,0.0,13.382075,1.052632,0.646614,1.713594,
9,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Munch 2021b,2021,0.0,0.0,0.0,0.0,133,491,0.0,0.0,155,480,0.0,0.0,83.977805,0.838841,0.690555,1.018969,
9,1,All-cause mortality up to 30 days,,,SUBGROUP_AND_OVERALL,Taboada 2021,2021,0.0,0.0,0.0,0.0,6,98,0.0,0.0,6,102,0.0,0.0,2.64012,1.040816,0.347464,3.117728,
9,2,All-cause mortality up to 120 days,,,SUBGROUP_AND_OVERALL,Maskin 2021,2021,0.0,0.0,0.0,0.0,23,49,0.0,0.0,23,49,0.0,0.0,10.287271,1.0,0.656386,1.523493,
9,2,All-cause mortality up to 120 days,,,SUBGROUP_AND_OVERALL,Munch 2021b,2021,0.0,0.0,0.0,0.0,157,490,0.0,0.0,180,478,0.0,0.0,81.507125,0.850862,0.715683,1.011573,
9,2,All-cause mortality up to 120 days,,,SUBGROUP_AND_OVERALL,Taboada 2021,2021,0.0,0.0,0.0,0.0,7,92,0.0,0.0,8,92,0.0,0.0,3.578181,0.875,0.330921,2.313617,
9,2,All-cause mortality up to 120 days,,,SUBGROUP_AND_OVERALL,Toroghi 2021,2021,0.0,0.0,0.0,0.0,31,86,0.0,0.0,8,47,0.0,0.0,4.627422,2.117733,1.060975,4.227047,
9,3,Clinical improvement: discharged alive,,,SUBGROUP_AND_OVERALL,Taboada 2021,2021,0.0,0.0,0.0,0.0,85,98,0.0,0.0,90,102,0.0,0.0,0.0,0.982993,0.885048,1.091777,
