Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
7,1,Duration of symptom onset more than 7 days,2,800,3627,770,3621,100.0,1.038925,0.95168,1.134167,0.0,0.931879,2.0,0.627545,0.0,0.853286,0.393501,subgroup:423730360343784032
7,2,Duration of symptom onset more than 7 days,1,,36,,71,100.0,0.81,0.423906,1.54775,0.0,0.0,0.0,1.0,0.0,0.637824,0.523588,subgroup:431121406458355317
7,3,Duration of symptom onset up to and including 7 days,1,701,2406,749,2410,100.0,1.263635,0.499475,3.196901,0.3153,2.394025,1.0,0.1218,58.229337,0.494098,0.621237,subgroup:430577033822656955
7,3,Duration of symptom onset more than 7 days,2,882,3376,826,3310,100.0,1.04649,0.964122,1.135896,0.0,0.346105,1.0,0.556326,0.0,1.086427,0.27729,subgroup:430577036477127100
7,4,Duration of symptom onset up to 7 days,1,1407,2241,1375,2255,40.256995,1.029318,0.983142,1.077662,0.0,0.986112,1.0,0.320695,0.0,1.233952,0.217221,subgroup:430804639712112176
7,4,Duration of symptom onset more than 7 days,2,2455,3591,2474,3550,59.743005,0.981175,0.951166,1.01213,0.0,0.137979,1.0,0.710298,0.0,1.199191,0.230454,subgroup:430804639714471474
8,1,Duration of symptom onset up to and including 7 days,1,7,37,5,19,100.0,0.718919,0.26302,1.965037,0.0,0.0,0.0,0.0,100.0,0.643252,0.520061,subgroup:430940555021416328
8,1,Duration of symptom onset more than 7 days,2,12,110,11,51,100.0,0.505785,0.239459,1.068319,0.0,0.0,0.0,1.0,0.0,1.786737,0.07398,subgroup:430940733695096841
9,1,Duration of symptom onset up to and including 7 days,1,1,200,0,201,47.707615,3.014925,0.123555,73.568784,0.0,0.0,0.0,1.0,0.0,0.67706,0.498368,subgroup:432859037356031806
9,1,Duration of symptom onset more than 7 days,2,0,6,1,9,52.292385,0.47619,0.022521,10.068885,0.0,0.0,0.0,1.0,0.0,0.47656,0.633675,subgroup:432859037362323264
9,2,Duration of symptom onset up to and including 7 days,1,10,200,20,200,92.345079,0.5,0.240148,1.041023,0.0,0.0,0.0,1.0,0.0,1.852514,0.063952,subgroup:432862914969912510
9,2,Duration of symptom onset more than 7 days,2,1,5,1,9,7.654921,1.8,0.140953,22.986386,0.0,0.0,0.0,1.0,0.0,0.452292,0.651058,subgroup:432862914972533953
9,3,Duration of symptom onset up to and including 7 days,1,148,200,131,201,79.841261,1.13542,0.996774,1.293351,0.0,0.0,0.0,1.0,0.0,1.911332,0.055962,subgroup:432863259296057135
9,3,Duration of symptom onset more than 7 days,2,3,6,7,9,20.158739,0.642857,0.268509,1.53911,0.0,0.0,0.0,1.0,0.0,0.991912,0.32124,subgroup:432863259297892145
